COUNT,AFFILIATION,AREA,COMMUTE_TYPE,COUNTY,AVGDIST
9,SS,DF,CARPOOL,25021,22.17599179
35,SS,DF,DRV,25009,30.12059272
110,SS,DF,DRV,25017,14.91578827
35,SS,DF,DRV,25021,20.87426774
10,SS,DF,DRV,25023,34.60121818
36,SS,DF,DRV,25025,9.352904423
5,SS,DF,DRV,33015,63.02191391
6,SS,DF,DRV_T,25009,20.91090275
8,SS,DF,DRV_T,25017,8.498741978
5,SS,DF,DRV_T,25025,6.937123095
7,SS,DF,UNK,25009,20.40989057
40,SS,DF,UNK,25017,10.21545193
7,SS,DF,UNK,25021,19.60381669
15,SS,DF,UNK,25025,7.390492495
31,SS,DF,WLK_T,25017,5.308380709
7,SS,DF,WLK_T,25021,17.03199679
5,SS,DF,WLK_T,25023,49.11815949
37,SS,DF,WLK_T,25025,7.685322981
7,SS,ENG,BIC,25017,4.459144173
9,SS,ENG,CARPOOL,25017,18.34504569
13,SS,ENG,DRV,25009,32.16081556
65,SS,ENG,DRV,25017,13.69629317
5,SS,ENG,DRV,25021,17.97450767
17,SS,ENG,DRV,25025,8.59857524
20,SS,ENG,DRV_T,25017,17.05597071
5,SS,ENG,DRV_T,25025,6.084746868
11,SS,ENG,UNK,25017,6.453083753
44,SS,ENG,WLK_T,25017,7.271499706
20,SS,ENG,WLK_T,25021,12.7886112
27,SS,ENG,WLK_T,25025,5.69276574
9,SS,HAS,DRV,25017,8.267272485
7,SS,HAS,DRV_T,25017,13.90532975
17,SS,HAS,WLK_T,25017,14.16991186
9,SS,HAS,WLK_T,25021,9.812524388
12,SS,HAS,WLK_T,25025,5.689853639
11,SS,LIB,DRV,25017,13.12740657
43,SS,LIB,WLK_T,25017,7.352957607
6,SS,LIB,WLK_T,25021,13.27222079
17,SS,LIB,WLK_T,25025,5.464318726
73,SS,LL,UNK,25009,34.66822396
499,SS,LL,UNK,25017,31.36768664
29,SS,LL,UNK,25021,19.41380996
13,SS,LL,UNK,25023,46.65804849
22,SS,LL,UNK,25025,6.176353724
59,SS,LL,UNK,25027,84.27582313
70,SS,LL,UNK,33011,65.50186031
21,SS,LL,UNK,33015,57.79024335
7,SS,LL,WLK_T,25017,9.579407379
17,SS,OTH,CARPOOL,25017,5.987059287
8,SS,OTH,CARPOOL,25025,7.847055888
19,SS,OTH,DRV,25017,11.06222631
10,SS,OTH,DRV,25025,9.620054575
8,SS,OTH,UNK,25017,22.04797426
28,SS,OTH,WLK_T,25017,6.832909832
5,SS,OTH,WLK_T,25021,13.69903236
21,SS,OTH,WLK_T,25025,6.952088273
5,SS,SAP,DRV,25009,27.89512032
7,SS,SAP,DRV,25017,11.68753292
18,SS,SAP,WLK_T,25017,7.516839118
9,SS,SAP,WLK_T,25025,3.585565717
5,SS,SCI,BIC,25017,2.595508719
14,SS,SCI,CARPOOL,25017,11.35785736
6,SS,SCI,DRV,25009,26.2175425
26,SS,SCI,DRV,25017,13.73230891
7,SS,SCI,DRV,25021,21.61592401
7,SS,SCI,DRV,25025,10.17315424
7,SS,SCI,DRV_T,25017,23.95027048
8,SS,SCI,UNK,25009,38.69026265
10,SS,SCI,UNK,25017,10.40811112
26,SS,SCI,WLK_T,25017,6.817434141
8,SS,SCI,WLK_T,25021,12.34154411
14,SS,SCI,WLK_T,25025,5.218729388
7,SS,SLD,BIC,25017,2.180229248
23,SS,SLD,CARPOOL,25017,11.90754262
5,SS,SLD,CARPOOL,25021,17.86581874
9,SS,SLD,CARPOOL,25025,9.648649577
31,SS,SLD,DRV,25009,31.49283228
134,SS,SLD,DRV,25017,15.03757002
26,SS,SLD,DRV,25021,22.77507902
11,SS,SLD,DRV,25023,44.71919825
37,SS,SLD,DRV,25025,9.157497584
7,SS,SLD,DRV,25027,85.11983974
7,SS,SLD,DRV,33015,60.0647653
25,SS,SLD,DRV_T,25017,12.49353668
12,SS,SLD,DRV_T,25025,6.566355731
9,SS,SLD,UNK,25009,37.93012761
72,SS,SLD,UNK,25017,16.67254679
26,SS,SLD,UNK,25021,19.27615476
5,SS,SLD,UNK,25023,34.72650307
25,SS,SLD,UNK,25025,6.61417738
8,SS,SLD,UNK,25027,70.56154734
9,SS,SLD,UNK,33011,77.06134243
6,SS,SLD,WLK,25017,1.699054828
10,SS,SLD,WLK_T,25009,36.11357303
105,SS,SLD,WLK_T,25017,9.496962181
32,SS,SLD,WLK_T,25021,16.57967676
6,SS,SLD,WLK_T,25023,32.45759014
90,SS,SLD,WLK_T,25025,6.41813204
16,SS,SSM,DRV,25017,11.11447381
5,SS,SSM,DRV_T,25017,6.012068333
18,SS,SSM,WLK_T,25017,4.85525866
14,SS,SSM,WLK_T,25025,5.199988241
108,U,ENG,BIC,25017,0.646320497
44,U,ENG,BIC,25025,1.318453515
9,U,ENG,BIC_T,25017,0.563595999
10,U,ENG,BIC_T,25025,1.228696316
18,U,ENG,DRV,25017,0.796653547
9,U,ENG,DRV,25025,1.769840446
12,U,ENG,SHT,25017,0.702756215
8,U,ENG,SHT,25021,3.655328547
31,U,ENG,SHT,25025,1.202062788
856,U,ENG,UNK,25017,0.598551353
5,U,ENG,UNK,25021,3.655328547
124,U,ENG,UNK,25025,1.186712068
538,U,ENG,WLK,25017,0.577262644
33,U,ENG,WLK,25025,1.172149771
77,U,ENG,WLK_T,25017,1.072030872
68,U,ENG,WLK_T,25025,1.386867992
7,U,HAS,BIC,25017,0.968830993
53,U,HAS,UNK,25017,0.659489263
8,U,HAS,UNK,25025,1.124991731
19,U,HAS,WLK,25017,0.636555508
11,U,HAS,WLK_T,25017,0.988623551
6,U,HAS,WLK_T,25025,1.734422549
14,U,SAP,UNK,25017,0.56924927
16,U,SAP,WLK,25017,0.607452308
5,U,SAP,WLK_T,25017,1.807692781
45,U,SCI,BIC,25017,0.782562503
13,U,SCI,BIC,25025,1.277078688
10,U,SCI,BIC_T,25017,0.686369221
6,U,SCI,BIC_T,25025,1.476896183
5,U,SCI,DRV,25017,5.773715999
11,U,SCI,SHT,25021,3.460801493
6,U,SCI,SHT,25025,1.235880367
381,U,SCI,UNK,25017,0.646698968
44,U,SCI,UNK,25025,1.240823932
229,U,SCI,WLK,25017,0.604273288
6,U,SCI,WLK,25025,1.045787768
21,U,SCI,WLK_T,25017,0.732223336
12,U,SCI,WLK_T,25025,1.288930094
37,U,SSM,UNK,25017,0.452234479
5,U,SSM,UNK,25025,1.107337084
16,U,SSM,WLK,25017,0.474820532
8,U,SSM,WLK_T,25017,0.56819339
7,U,SSM,WLK_T,25025,1.12600472
97,U,UNDEC,BIC,25017,0.721476037
19,U,UNDEC,BIC_T,25017,0.698639016
5,U,UNDEC,CARPOOL,25017,0.672581577
11,U,UNDEC,DRV,25017,0.68913512
11,U,UNDEC,SHT,25017,0.733542973
485,U,UNDEC,UNK,25017,0.631446805
7,U,UNDEC,UNK,25025,1.659619053
490,U,UNDEC,WLK,25017,0.586729771
45,U,UNDEC,WLK_T,25017,0.747393087
